time,lat,lon
1711977572,-50.511401582246,-162.18616370396
1711977581,-50.642635140416,-161.33771164022
1711977590,-50.767101615902,-160.48444811462
1711977599,-50.884736118652,-159.62658040526
1711977608,-50.995475980747,-158.7643288593
1711977617,-51.099261510451,-157.89792283121
1711977626,-51.196036557233,-157.02759646159
1711977635,-51.285746955733,-156.1536038937
1711977644,-51.368343259119,-155.2761955231
1711977653,-51.443779107666,-154.39563309928
1711977662,-51.512011800372,-153.51218536029
1711977671,-51.573002666528,-152.62612354632
1711977680,-51.62671611379,-151.73773670095
1711977689,-51.673121361122,-150.84730731644
1711977698,-51.712191402313,-149.9551265513
1711977707,-51.743903496123,-149.06148563466
1711977716,-51.768238696944,-148.16669118702
1711977725,-51.785182758706,-147.27104056408
1711977734,-51.79472557606,-146.37483713072
1711977743,-51.796861371602,-145.47838555703
1711977752,-51.791588672303,-144.58198709194
1711977761,-51.778910440928,-143.68595486886
1711977770,-51.758833926026,-142.79058913812
1711977779,-51.731370702007,-141.89619258023
1711977788,-51.696536628659,-141.00306559013
1711977797,-51.654351600562,-140.11150160052
1711977806,-51.604840276843,-139.22180233939
1711977815,-51.548030880605,-138.33425325736
1711977824,-51.483955840582,-137.44913884565
1711977833,-51.412651193709,-136.56673410319
1711977842,-51.334157792186,-135.68731972838
1711977851,-51.248519281104,-134.81115790762
1711977860,-51.155783223183,-133.93850760121
1711977869,-51.056000670125,-133.06962012356
1711977878,-50.949225536627,-132.20473485655
1711977887,-50.83551640151,-131.34409430768
1711977896,-50.714933498422,-130.48792056255
1711977905,-50.587540444433,-129.63643046323
1711977914,-50.453403624656,-128.78983146872
1711977923,-50.312591391181,-127.94831768281
1711977932,-50.165176451771,-127.11208469841
1711977941,-50.011231931831,-126.28130688575
1711977950,-49.850833701334,-125.45615236395
1711977959,-49.684058838903,-124.63677551707
1711977968,-49.510988481482,-123.82333159635
1711977977,-49.331703190716,-123.01595475395
1711977986,-49.146285748983,-122.2147727671
1711977995,-48.954820272387,-121.41990344
1711978004,-48.75739116223,-120.63145120142
1711978013,-48.554086512618,-119.84952131007
1711978022,-48.344992668832,-119.07419886707
1711978031,-48.130197589952,-118.3055631282
1711978040,-47.909789842594,-117.54368417024
1711978049,-47.683857446515,-116.78861975524
1711978058,-47.452491812173,-116.04042904272
1711978067,-47.21578155822,-115.29915259248
1711978076,-46.973816410655,-114.56482616499
1711978085,-46.726684977837,-113.8374743733
1711978094,-46.474479087147,-113.11712394478
1711978103,-46.21728705589,-112.40378450557
1711978112,-45.955197993413,-111.69746191638
1711978121,-45.688300619113,-110.99815530722
1711978130,-45.416681954651,-110.30585430167
1711978139,-45.140432124371,-109.62055166869
1711978148,-44.859636997103,-108.94222505664
1711978157,-44.574382955494,-108.27084970457
1711978166,-44.284755630399,-107.60639562916
1711978175,-43.990838520865,-106.94882499378
1711978184,-43.69271821702,-106.29810412394
1711978193,-43.390476468911,-105.65418615258
1711978202,-43.084195380749,-105.01702308461
1711978211,-42.773956068237,-104.38656311063
1711978220,-42.459837211696,-103.7627480941
1711978229,-42.141920660189,-103.14552494931
1711978238,-41.820282979373,-102.53482915453
1711978247,-41.495001028725,-101.9305961722
1711978256,-41.166149068701,-101.33275621452
1711978265,-40.833804640988,-100.74124512341
1711978274,-40.498039734535,-100.15598854522
1711978283,-40.158926640161,-99.576912849605
1711978292,-39.816536480947,-99.003942634226
1711978301,-39.470937655309,-98.436998386216
1711978310,-39.122202028564,-97.876006766616
1711978319,-38.770395662433,-97.320885569312
1711978328,-38.415584982475,-96.771554041751
1711978337,-38.057835243788,-96.227930485162
1711978346,-37.697208917818,-95.689930001847
1711978355,-37.333772160589,-95.157474222057
1711978364,-36.967585147891,-94.630476998477
1711978373,-36.5987085209,-94.108854167794
1711978382,-36.227200124763,-93.592518946081
1711978391,-35.85312167545,-93.081391240281
1711978400,-35.476528807762,-92.575383895336
1711978409,-35.097477720825,-92.074412039376
1711978418,-34.716023537857,-91.578390846781
1711978427,-34.332218600665,-91.087233430358
1711978436,-33.946119359151,-90.600859673442
1711978445,-33.557776093135,-90.11918312258
1711978454,-33.167239782134,-89.642119852146
1711978463,-32.7745604123,-89.169586313713
1711978472,-32.379785224853,-88.7014973045
1711978481,-31.982965802675,-88.237774364158
1711978490,-31.584147499655,-87.778333262712
1711978499,-31.183376509198,-87.323092428522
1711978508,-30.78069631841,-86.871968872992
1711978517,-30.376154935848,-86.424886269886
1711978526,-29.969794109306,-85.98176288357
1711978535,-29.561656536771,-85.542519678257
1711978544,-29.151784089303,-85.107078313751
1711978553,-28.740215986183,-84.67535924247
1711978562,-28.326996180538,-84.247289428567
1711978571,-27.912162338521,-83.822790782507
1711978580,-27.49575320976,-83.401787908318
1711978589,-27.077806809521,-82.984206174521
1711978598,-26.658358558443,-82.569969876812
1711978607,-26.237448807485,-82.159009635341
1711978616,-25.81511160497,-81.751251287952
1711978625,-25.391382207886,-81.346623313625
1711978634,-24.966293324176,-80.945053185072
1711978643,-24.539882737065,-80.546474534404
1711978652,-24.112181919946,-80.150816380137
1711978661,-23.683223648255,-79.758010317338
1711978670,-23.253040118555,-79.367988710766
1711978679,-22.821661033613,-78.980682963482
1711978688,-22.389121337259,-78.596030423248
1711978697,-21.955449659324,-78.213963986795
1711978706,-21.520676039456,-77.834419028489
1711978715,-21.084830016444,-77.45733165348
1711978724,-20.647938687714,-77.082637017796
1711978733,-20.21003454079,-76.710276006858
